time      velocity       gamma      alfa       thetas      psis      theta       phi        alt         beta 
  70     1618.0478    -7.7519    27.6281    19.8458    57.8430  1932.5469  3151.9047    18903.5392     0.7368 
  70     1610.5579    -7.5163    28.0933    20.5400    57.8197  1932.5983  3151.9058    18872.7853     0.4066 
  70     1602.6774    -7.2699    28.0213    20.6971    58.0434  1932.6514  3151.9070    18842.0364    -0.1103 
  70     1595.8183    -7.0509    27.5084    20.4013    58.0944  1932.6992  3151.9081    18815.1636    -0.4834 
  70     1588.9886    -6.8240    26.7844    19.9274    57.6928  1932.7503  3151.9092    18787.3695    -0.5787 
  70     1582.6021    -6.6018    26.2897    19.6841    56.7544  1932.8017  3151.9104    18760.2462    -0.3158 
  71     1578.2075    -6.4455    26.2846    19.8374    55.8717  1932.8383  3151.9112    18741.5222     0.0069 
  71     1572.1896    -6.2332    26.7379    20.4697    54.6603  1932.8870  3151.9123    18717.2140     0.4247 
  71     1560.9613    -5.8535    27.8667    21.8919    53.2698  1932.9700  3151.9141    18677.7155     0.6004 
  71     1551.8418    -5.5540    28.1196    22.4272    53.0249  1933.0326  3151.9155    18649.5427     0.2200 
  71     1546.1492    -5.3643    27.8463    22.3502    53.0549  1933.0721  3151.9164    18632.5385    -0.1003 
  71     1540.3608    -5.1651    27.2964    22.0007    53.0169  1933.1142  3151.9174    18615.0181    -0.3652 
  72     1533.4317    -4.9150    26.5442    21.4567    52.5816  1933.1686  3151.9186    18593.3126    -0.4366 
  72     1528.2773    -4.7220    26.2475    21.2613    51.8337  1933.2119  3151.9196    18576.7730    -0.2544 
  72     1522.7782    -4.5158    26.4368    21.4937    50.7173  1933.2586  3151.9207    18559.6513     0.0744 
  72     1515.7620    -4.2617    27.1827    22.2505    49.2812  1933.3150  3151.9220    18539.9944     0.4135 
  72     1504.5981    -3.8795    28.1068    23.2999    47.8738  1933.3962  3151.9239    18513.6409     0.4034 
  72     1497.2405    -3.6303    28.0266    23.4166    47.5579  1933.4479  3151.9251    18498.1606     0.1241 
  72     1491.2804    -3.4221    27.5388    23.1228    47.4679  1933.4913  3151.9261    18485.9011    -0.1317 
  73     1483.2200    -3.1245    26.6071    22.4015    47.1414  1933.5554  3151.9276    18469.0927    -0.3041 
  73     1478.7014    -2.9500    26.2672    22.0930    46.6245  1933.5944  3151.9286    18459.5679    -0.2324 
  73     1474.1408    -2.7731    26.3109    22.0795    45.7920  1933.6348  3151.9295    18450.2711    -0.0524 
  73     1469.4187    -2.5947    26.7387    22.3845    44.7428  1933.6754  3151.9305    18441.4860     0.1559 
  73     1459.5644    -2.2459    27.8532    23.2778    42.8054  1933.7527  3151.9324    18426.3441     0.3417 
  74     1450.3741    -1.9351    28.1250    23.5661    41.8275  1933.8195  3151.9340    18415.0138     0.1774 
  74     1444.8777    -1.7464    27.7834    23.3253    41.5742  1933.8601  3151.9350    18408.9321     0.0114 
  74     1438.6944    -1.5252    27.0696    22.7353    41.3776  1933.9089  3151.9362    18402.4195    -0.1359 
  74     1431.5501    -1.2554    26.3109    21.9786    40.8265  1933.9713  3151.9377    18395.3196    -0.1269 
  74     1428.0807    -1.1222    26.2479    21.8069    40.2730  1934.0034  3151.9386    18392.1884    -0.0431 
  74     1423.5105    -0.9506    26.5703    21.8875    39.2818  1934.0451  3151.9396    18388.6302     0.0917 
  75     1414.5066    -0.6361    27.6785    22.4813    37.2491  1934.1204  3151.9415    18383.6928     0.2145 
  75     1405.1034    -0.3287    28.1335    22.6642    35.8880  1934.1920  3151.9434    18380.8238     0.0994 
  75     1399.6129    -0.1491    27.8298    22.3311    35.5002  1934.2340  3151.9445    18379.9875    -0.0023 
  75     1393.7100     0.0501    27.1346    21.6281    35.2468  1934.2824  3151.9457    18379.7908    -0.0630 
  75     1387.8725     0.2549    26.4269    20.7997    34.8491  1934.3352  3151.9471    18380.4727    -0.0187 
  75     1384.6309     0.3697    26.2643    20.4598    34.4053  1934.3664  3151.9480    18381.2969     0.0466 
  76     1379.3527     0.5515    26.5692    20.3047    33.2790  1934.4173  3151.9494    18383.2809     0.1463 
  76     1370.7943     0.8219    27.6648    20.6011    31.2403  1934.4926  3151.9514    18387.6730     0.1309 
  76     1363.6333     1.0332    28.1041    20.5985    30.0509  1934.5499  3151.9530    18392.2282     0.0053 
  76     1359.0161     1.1674    27.9613    20.2826    29.6077  1934.5867  3151.9540    18395.7037    -0.0622 
  76     1352.7465     1.3516    27.2916    19.4184    29.2787  1934.6395  3151.9555    18401.4558    -0.0642 
  76     1348.2407     1.4851    26.6809    18.5874    29.0378  1934.6812  3151.9567    18406.5925     0.0225 
  77     1344.4088     1.5973    26.3451    17.9233    28.6288  1934.7194  3151.9578    18411.7278     0.1333 
  77     1340.5627     1.7051    26.4037    17.4927    27.9019  1934.7588  3151.9590    18417.4341     0.2198 
  77     1333.0557     1.8967    27.3254    17.3358    26.0231  1934.8312  3151.9611    18428.9164     0.1630 
  77     1327.2507     2.0333    27.9274    17.2955    24.8152  1934.8818  3151.9626    18437.7318    -0.0113 
  77     1322.2393     2.1475    28.0208    16.9996    24.1489  1934.9238  3151.9639    18445.5603    -0.1380 
  78     1318.1530     2.2392    27.7642    16.4862    23.8495  1934.9587  3151.9650    18452.4284    -0.1699 
  78     1311.7486     2.3773    26.9505    15.1814    23.5935  1935.0179  3151.9668    18464.7820    -0.0258 
  78     1308.4029     2.4431    26.5467    14.3661    23.3724  1935.0521  3151.9679    18472.2635     0.1277 
  78     1304.6647     2.5080    26.3990    13.5652    22.8478  1935.0923  3151.9691    18481.3515     0.2838 
  78     1298.4088     2.5966    27.0029    12.8604    21.3533  1935.1582  3151.9713    18496.8116     0.2814 
  79     1292.1682     2.6737    27.7600    12.5824    19.9229  1935.2175  3151.9732    18511.3062     0.0052 
  79     1287.6061     2.7284    27.9511    12.2480    19.2440  1935.2585  3151.9746    18521.6389    -0.1901 
  79     1282.6914     2.7838    27.6949    11.5242    18.8975  1935.3031  3151.9761    18533.2182    -0.2589 
  79     1276.7161     2.8345    26.9408    10.0162    18.7703  1935.3621  3151.9781    18548.9725    -0.0416 
  79     1273.7664     2.8459    26.6064     9.0972    18.6328  1935.3942  3151.9792    18557.6957     0.1590 
  79     1270.4145     2.8443    26.5041     8.1148    18.2206  1935.4324  3151.9806    18568.1426     0.3557 
  80     1264.8263     2.8179    27.0461     7.0437    16.9643  1935.4946  3151.9828    18585.2342     0.3485 
  80     1259.3627     2.7870    27.6839     6.5040    15.7571  1935.5499  3151.9848    18600.4223     0.0139 
  80     1255.2828     2.7654    27.8449     6.0626    15.1856  1935.5892  3151.9863    18611.2070    -0.2327 
  80     1250.7411     2.7365    27.6010     5.2409    14.9494  1935.6335  3151.9879    18623.3667    -0.3271 
  81     1245.4795     2.6760    26.9571     3.6468    15.0069  1935.6891  3151.9901    18638.5450    -0.0763 
  81     1243.2109     2.6332    26.7121     2.7769    15.0034  1935.7153  3151.9911    18645.5989     0.1252 
  81     1240.2478     2.5589    26.6127     1.6306    14.7980  1935.7508  3151.9925    18655.0339     0.3676 
  81     1235.0442     2.3976    27.0842     0.1106    13.8387  1935.8121  3151.9949    18670.7121     0.4120 
  81     1230.6349     2.2589    27.5754    -0.6350    12.9448  1935.8598  3151.9968    18682.2910     0.0931 
  82     1227.3163     2.1577    27.7311    -1.1153    12.4895  1935.8941  3151.9983    18690.2789    -0.1820 
  82     1222.5529     2.0060    27.5118    -2.0852    12.3182  1935.9439  3152.0003    18701.3030    -0.3670 
  82     1217.8199     1.8178    26.9667    -3.7280    12.5941  1935.9974  3152.0026    18712.3365    -0.1182 
  82     1215.4590     1.6971    26.7565    -4.8022    12.7352  1936.0265  3152.0039    18717.8823     0.1344 
  83     1211.8081     1.4750    26.8044    -6.4945    12.6247  1936.0727  3152.0059    18725.9331     0.4484 
  83     1206.3093     1.1136    27.3957    -8.2840    11.8089  1936.1384  3152.0089    18735.3872     0.2927 
  83     1202.6493     0.8783    27.6217    -9.0367    11.3361  1936.1790  3152.0107    18739.9454    -0.0643 
  83     1198.9279     0.6361    27.5250    -9.8280    11.2170  1936.2202  3152.0127    18743.4922    -0.3381 
  84     1194.3550     0.3008    27.0646   -11.3522    11.6659  1936.2740  3152.0152    18746.4086    -0.2434 
  84     1191.5120     0.0487    26.8245   -12.7365    12.1166  1936.3105  3152.0170    18747.1593     0.0683 
  84     1188.6108    -0.2444    26.8647   -14.3081    12.3910  1936.3490  3152.0189    18746.7269     0.3817 
  84     1183.3718    -0.7993    27.3828   -16.5330    12.1695  1936.4145  3152.0221    18742.6810     0.3351 
  85     1179.7334    -1.1787    27.5552   -17.5099    11.9416  1936.4570  3152.0243    18737.6078    -0.0357 
  85     1176.6736    -1.5041    27.4386   -18.2626    12.0334  1936.4928  3152.0261    18731.7491    -0.2948 
  85     1171.9281    -2.0688    26.9731   -19.9702    12.9681  1936.5523  3152.0293    18718.6102    -0.1896 
  85     1169.7170    -2.3735    26.8557   -21.1233    13.6150  1936.5823  3152.0309    18710.2731     0.0736 
  86     1166.9858    -2.7765    26.9778   -22.6834    14.2621  1936.6196  3152.0329    18698.1681     0.3647 
  86     1162.1072    -3.4972    27.4400   -24.8922    14.6981  1936.6814  3152.0363    18673.3955     0.2821 
  86     1159.0878    -3.9366    27.5090   -25.7949    14.8511  1936.7175  3152.0383    18656.0056    -0.0281 
  86     1156.4048    -4.3384    27.3575   -26.4952    15.2250  1936.7500  3152.0402    18638.4321    -0.2530 
  87     1152.3571    -5.0069    26.9566   -27.8600    16.5679  1936.8027  3152.0432    18605.9322    -0.1784 
  87     1150.1482    -5.4130    26.8813   -28.9158    17.6083  1936.8334  3152.0450    18584.5939     0.0715 
  87     1147.5494    -5.9051    27.0539   -30.2984    18.7280  1936.8691  3152.0471    18557.4677     0.3264 
  88     1142.8743    -6.7596    27.4733   -32.3002    19.9688  1936.9278  3152.0506    18506.9567     0.2278 
  88     1140.0454    -7.2675    27.4732   -33.0933    20.5508  1936.9616  3152.0526    18474.4354    -0.0401 
  88     1137.3697    -7.7659    27.2639   -33.6940    21.3564  1936.9944  3152.0546    18440.4317    -0.2222 
  88     1133.4749    -8.5634    26.9032   -34.7267    23.4150  1937.0460  3152.0578    18381.7969    -0.0840 
  89     1131.7109    -8.9480    26.9064   -35.3714    24.5992  1937.0703  3152.0593    18351.9033     0.1005 
  89     1128.7501    -9.5817    27.1722   -36.5563    26.4171  1937.1095  3152.0617    18300.7617     0.3061 
  89     1124.4628   -10.4395    27.4972   -37.8965    28.2655  1937.1608  3152.0649    18227.8295     0.1486 
  90     1122.0483   -10.9139    27.4494   -38.3555    29.1512  1937.1887  3152.0666    18185.3556    -0.0450 
  90     1119.1798   -11.4983    27.1935   -38.6868    30.4470  1937.2229  3152.0688    18130.5442    -0.1796 
  90     1115.7838   -12.2428    26.9009   -39.0211    32.6934  1937.2664  3152.0715    18056.3422    -0.0431 
  90     1114.0919   -12.6239    26.9147   -39.2778    34.0302  1937.2886  3152.0729    18016.5206     0.1015 
  91     1110.8747   -13.3157    27.2049   -39.9037    36.4064  1937.3287  3152.0755    17941.4763     0.2597 
  91     1106.4330   -14.1867    27.4940   -40.5682    38.8236  1937.3786  3152.0786    17842.4389     0.0894 
  91     1104.1454   -14.6231    27.4312   -40.6793    39.8674  1937.4034  3152.0802    17790.7144    -0.0528 
  91     1100.6076   -15.3178    27.1166   -40.5126    41.6779  1937.4432  3152.0827    17704.6767    -0.1295 
  92     1097.8799   -15.8775    26.9158   -40.2267    43.4726  1937.4758  3152.0847    17631.2872    -0.0054 
  92     1095.9716   -16.2676    26.9298   -40.0696    44.8880  1937.4989  3152.0861    17577.8333     0.1213 
  92     1091.8809   -17.0417    27.2690   -39.9664    47.7012  1937.5452  3152.0890    17466.7410     0.2138 
  93     1087.9573   -17.7098    27.4717   -39.8631    49.7240  1937.5856  3152.0915    17366.2920     0.0503 
  93     1085.6831   -18.0839    27.4228   -39.6545    50.6923  1937.6084  3152.0929    17308.1035    -0.0575 
  93     1082.0291   -18.6879    27.1519   -38.9846    52.2315  1937.6459  3152.0951    17210.1309    -0.0996 
  93     1079.3439   -19.1371    26.9636   -38.2811    53.5295  1937.6747  3152.0968    17132.8823     0.0042 
  93     1077.2791   -19.4760    26.9359   -37.7286    54.6438  1937.6973  3152.0982    17071.5893     0.1151 
  94     1072.8336   -20.1452    27.2050   -36.8108    57.0079  1937.7436  3152.1009    16943.1042     0.1961 
  94     1068.6339   -20.7030    27.4259   -36.1516    58.7500  1937.7836  3152.1032    16829.6821     0.0440 
  94     1066.1352   -21.0163    27.4154   -35.6878    59.5573  1937.8066  3152.1045    16763.5231    -0.0565 
  94     1062.0720   -21.5126    27.2013   -34.6322    60.6819  1937.8444  3152.1066    16653.4867    -0.0909 
  95     1059.1237   -21.8631    27.0250   -33.6331    61.5041  1937.8728  3152.1082    16569.8846     0.0084 
  95     1056.7196   -22.1360    26.9710   -32.7693    62.2419  1937.8964  3152.1094    16500.0965     0.1185 
  95     1051.7055   -22.6438    27.1679   -31.2198    63.8619  1937.9439  3152.1120    16357.8006     0.1891 
  96     1047.1721   -23.0375    27.3695   -30.1344    65.0750  1937.9839  3152.1141    16237.2819     0.0371 
  96     1044.7208   -23.2338    27.3847   -29.5453    65.5690  1938.0048  3152.1152    16173.9641    -0.0526 
  96     1040.2892   -23.5668    27.2425   -28.2707    66.2167  1938.0427  3152.1171    16059.1419    -0.0959 
  96     1036.7825   -23.8076    27.0837   -27.0278    66.6183  1938.0733  3152.1186    15966.0772     0.0033 
  96     1034.1309   -23.9713    27.0229   -26.0186    66.9359  1938.0968  3152.1198    15894.6914     0.1105 
  97     1028.6188   -24.2519    27.1421   -24.1012    67.7172  1938.1447  3152.1221    15749.0919     0.1910 
  97     1023.5389   -24.4525    27.3135   -22.6849    68.3843  1938.1866  3152.1240    15622.4620     0.0437 
  97     1020.5454   -24.5527    27.3365   -21.8938    68.6480  1938.2106  3152.1252    15550.2935    -0.0550 
  97     1015.5849   -24.6913    27.2319   -20.4311    68.8231  1938.2502  3152.1269    15431.6235    -0.0926 
  98     1011.8161   -24.7678    27.1183   -19.1369    68.8019  1938.2807  3152.1283    15340.8290     0.0039 
  98     1008.8592   -24.8062    27.0738   -18.0625    68.7666  1938.3048  3152.1294    15269.4452     0.1073 
  98     1002.6354   -24.8270    27.1635   -15.9537    68.8060  1938.3549  3152.1315    15122.6857     0.1812 
  98      997.1319   -24.7966    27.2809   -14.4045    68.8825  1938.3976  3152.1333    14999.4763     0.0401 
  99      993.8599   -24.7629    27.2909   -13.5401    68.8406  1938.4225  3152.1343    14928.4474    -0.0525 
  99      988.3296   -24.6765    27.2061   -11.9776    68.5167  1938.4645  3152.1360    14809.9470    -0.0807 
  99      984.3922   -24.5860    27.1355   -10.7385    68.1244  1938.4947  3152.1372    14726.0275     0.0087 
  99      981.0156   -24.4865    27.1163    -9.6355    67.7530  1938.5206  3152.1382    14654.6917     0.1064 
 100      974.5967   -24.2487    27.1934    -7.6649    67.1324  1938.5693  3152.1401    14522.9880     0.1651 
 100      968.4758   -23.9813    27.2653    -6.0634    66.6126  1938.6146  3152.1418    14403.2709     0.0348 
